gene,observed_transmissibility,predicted_transmissibility_oof,n_amplified_cases,predicted_percentile,observed_percentile,residual,predicted_rank
PSMD3,0.8783,0.7007,115,0.9511,0.9677,0.1776,340
HYOU1,0.7571,0.7005,70,0.9509,0.876,0.0566,341
ZNF644,0.6897,0.7003,58,0.9508,0.8223,-0.0107,342
RRP7A,0.8,0.7002,60,0.9506,0.9082,0.0998,343
SMNDC1,0.807,0.7001,57,0.9505,0.9142,0.1069,344
MFAP1,0.6863,0.6996,51,0.9503,0.8187,-0.0134,345
FUS,0.6455,0.6995,110,0.9502,0.7827,-0.0541,346
EEF1G,0.7089,0.6995,79,0.95,0.8389,0.0094,347
RRS1,0.662,0.6994,142,0.9499,0.7986,-0.0375,348
TFIP11,0.8182,0.6993,66,0.9498,0.924,0.1188,349
PSMC3,0.8413,0.6992,63,0.9496,0.9436,0.1421,350
SAFB,0.6351,0.6991,74,0.9495,0.7725,-0.0639,351
RPA1,0.6744,0.6987,43,0.9493,0.807,-0.0243,352
PPM1G,0.9322,0.6985,118,0.9492,0.9892,0.2337,353
LUC7L3,0.7724,0.6981,123,0.949,0.889,0.0742,354
MED7,0.5691,0.6974,123,0.9489,0.7127,-0.1283,355
BTF3,0.686,0.697,86,0.9487,0.8181,-0.011,356
NACA,0.825,0.697,120,0.9486,0.9298,0.128,357
ITGB1,0.3068,0.6969,88,0.9485,0.456,-0.3901,358
POLR3B,0.6337,0.6969,101,0.9483,0.7714,-0.0633,359
NDE1,0.5577,0.696,104,0.9482,0.7023,-0.1383,360
PNO1,0.872,0.6959,125,0.948,0.9635,0.1761,361
PSMD4,0.71,0.6957,200,0.9479,0.8405,0.0143,362
TCOF1,0.9091,0.6957,121,0.9477,0.9818,0.2134,363
UBR5,0.9029,0.6956,175,0.9476,0.9795,0.2072,364
SNRNP40,0.6462,0.6955,65,0.9474,0.7834,-0.0494,365
XRN2,0.8392,0.6951,143,0.9473,0.9424,0.1441,366
HAUS6,0.7556,0.6947,45,0.9472,0.8747,0.0609,367
PRPF19,0.8481,0.6947,79,0.947,0.9479,0.1534,368
CSE1L,0.8986,0.6938,148,0.9469,0.977,0.2048,369
KANSL1,0.3396,0.6933,106,0.9467,0.4899,-0.3537,370
SBDS,0.1659,0.6932,217,0.9466,0.2618,-0.5273,371
TAF7,0.6379,0.6927,116,0.9464,0.7754,-0.0548,372
WDR70,0.8,0.6926,190,0.9463,0.9082,0.1074,373
DDX55,0.701,0.6923,97,0.9461,0.8322,0.0087,374
FBL,0.7402,0.692,127,0.946,0.8629,0.0481,375
UPF2,0.6395,0.6917,86,0.9459,0.777,-0.0521,376
TNPO3,0.7843,0.6913,204,0.9457,0.8984,0.093,377
ALYREF,0.8772,0.6912,114,0.9456,0.9669,0.186,378
RBBP6,0.902,0.6911,102,0.9454,0.9791,0.2109,379
NAF1,0.6383,0.6911,47,0.9453,0.7758,-0.0528,380
