gene,transmissibility,n_amplified_cases,n_rows,meets_primary_20,meets_relaxed_10
BANP,0.16883116883116883,77,77,True,True
BAP1,0.35555555555555557,45,45,True,True
BASP1,0.41621621621621624,185,185,True,True
BAX,0.651685393258427,89,89,True,True
BAZ1A,0.9545454545454546,110,110,True,True
BAZ1B,0.7603686635944701,217,217,True,True
BAZ2A,0.8487394957983193,119,119,True,True
BBIP1,0.08333333333333333,60,60,True,True
BBS1,0.038834951456310676,103,103,True,True
BBS2,0.08421052631578947,95,95,True,True
BBS4,0.08333333333333333,60,60,True,True
BBS7,0.04081632653061224,49,49,True,True
BBS9,0.06637168141592921,226,226,True,True
BBX,0.5181818181818182,110,110,True,True
BCAM,0.09900990099009901,101,101,True,True
BCAP29,0.22535211267605634,213,213,True,True
BCAR1,0.44680851063829785,94,94,True,True
BCAS2,0.7966101694915254,59,59,True,True
BCAS3,0.13114754098360656,122,122,True,True
BCAT1,0.4342105263157895,152,152,True,True
BCAT2,0.11235955056179775,89,89,True,True
BCCIP,0.8939393939393939,66,66,True,True
BCHE,0.029411764705882353,170,170,True,True
BCKDHA,0.058823529411764705,102,102,True,True
